mdf_1,mdf_2,mdf_3,mdf_4,mdf_5,mdf_6,mdf_7,mdf_8,mdf_9,mdf_10,mdf_11,mdf_12,mdf_13,mdf_14,mdf_15,mdf_16,mdf_17,mdf_18,mdf_19,mdf_20,mdf_21,mdf_22,mdf_23,mdf_24,mdf_25,mdf_26,mdf_27,mdf_28,mdf_29,mdf_30,mdf_31,mdf_32,mdf_33,mdf_34,mdf_35,mdf_36,mdf_37,mdf_38,mdf_39,mdf_40,mdf_41,mdf_42,mdf_43,mdf_44,mdf_45,mdf_46,mdf_47,mdf_48,mdf_49,mdf_50,mdf_51,mdf_52,mdf_53,mdf_54,mdf_55,mdf_56,mdf_57,mdf_58,mdf_59,mdf_60,mdf_61,mdf_62,mdf_63,mdf_64,mdf_65,mdf_66,mdf_67,mdf_68,mdf_69,mdf_70,mdf_71,mdf_72,mdf_73,mdf_74,mdf_75,mdf_76,mdf_77,mdf_78,mdf_79,mdf_80,mdf_81,mdf_82,mdf_83,mdf_84,mdf_85,mdf_86,mdf_87,mdf_88,mdf_89,mdf_90,mdf_91,mdf_92,mdf_93,mdf_94,mdf_95,mdf_96,mdf_97,mdf_98,mdf_99,mdf_100,mdf_101,mdf_102,mdf_103,mdf_104,mdf_105,mdf_106,mdf_107,mdf_108,mdf_109,mdf_110,mdf_111,mdf_112,mdf_113,mdf_114,mdf_115,mdf_116,mdf_117,mdf_118,mdf_119,mdf_120,centroid_1,trisurface_1,trisurface_2,trisurface_3,length,sixfold_1,sixfold_2,sixfold_3,sixfold_4,sixfold_5,sixfold_6,bestfit_1,bestfit_2,bestfit_3,target
0.554404,0.695912,0.692120,0.784492,0.869011,0.495997,0.655457,0.651412,0.705689,0.792474,0.581879,0.583734,0.617193,0.641972,0.790002,0.679815,0.803540,0.866498,0.720691,0.577214,0.618121,0.670038,0.780952,0.604383,0.525313,0.682849,0.590982,0.726338,0.535946,0.654548,0.168843,0.556225,0.899763,0.902731,0.551294,0.306733,0.412907,0.595658,0.687670,0.836648,0.877374,0.387212,0.451747,0.517809,0.847380,0.920624,0.900865,0.904596,0.735923,0.534012,0.880851,0.804868,0.839467,0.635346,0.798848,0.955139,0.751102,0.758226,0.517469,0.816840,0.248571,0.214286,0.277143,0.351429,0.329730,0.311429,0.260000,0.334286,0.280000,0.267568,0.202857,0.257143,0.345714,0.291429,0.205405,0.394286,0.380000,0.374286,0.320000,0.289189,0.420000,0.300000,0.360000,0.442857,0.278378,0.180000,0.242857,0.305714,0.248571,0.183784,0.349254,0.314925,0.370149,0.420896,0.386111,0.288060,0.361194,0.356716,0.370149,0.138889,0.053731,0.340299,0.392537,0.383582,0.126389,0.380597,0.398507,0.376119,0.394030,0.394444,0.280597,0.417910,0.432836,0.428358,0.156944,0.035821,0.370149,0.411940,0.426866,0.141667,0.630026,0.209775,0.814461,0.265286,0.212644,0.108939,0.476401,0.820520,0.797225,0.336395,0.205256,0.586598,0.578945,0.440561,Fake
0.493110,0.703512,0.749986,0.890215,0.758328,0.625267,0.624056,0.705357,0.829903,0.849613,0.612697,0.580695,0.655481,0.752119,0.833172,0.680736,0.796460,0.587499,0.562994,0.434988,0.746411,0.734071,0.541948,0.500663,0.645605,0.704665,0.672433,0.502854,0.440697,0.659843,0.310789,0.570163,0.877329,0.897285,0.667271,0.367150,0.472050,0.740108,0.690879,0.948123,0.692719,0.398953,0.651714,0.718714,0.987703,0.821659,0.877099,0.783644,0.443697,0.335090,0.785657,0.772027,0.718311,0.327582,0.888889,0.860478,0.652749,0.643490,0.421268,0.974528,0.297561,0.268293,0.243902,0.290244,0.338636,0.207317,0.251220,0.258537,0.341463,0.218182,0.160976,0.260976,0.256098,0.275610,0.197727,0.348780,0.356098,0.363415,0.334146,0.354545,0.195122,0.285366,0.253659,0.273171,0.218182,0.204878,0.300000,0.309756,0.307317,0.170455,0.352381,0.361905,0.365476,0.417857,0.395455,0.315476,0.348810,0.366667,0.361905,0.057955,0.178571,0.391667,0.357143,0.297619,0.013636,0.392857,0.385714,0.384524,0.396429,0.392045,0.344048,0.414286,0.397619,0.404762,0.060227,0.160714,0.408333,0.429762,0.314286,0.019318,0.679167,0.236578,0.557646,0.055470,0.228423,0.128954,0.440915,0.578085,0.533557,0.055924,0.054904,0.580467,0.604780,0.341129,Fake
0.696909,0.830611,0.815280,0.880121,0.757553,0.543269,0.718774,0.758021,0.802337,0.763047,0.633116,0.658457,0.707087,0.746377,0.839626,0.606518,0.696532,0.763969,0.578495,0.458574,0.623817,0.607397,0.624696,0.507372,0.529168,0.626833,0.562160,0.589470,0.470302,0.666872,0.345758,0.530435,0.861081,0.684002,0.531924,0.433601,0.429337,0.721950,0.785986,0.962037,0.575686,0.325496,0.570536,0.751287,1.000000,0.863107,0.888518,0.829802,0.550232,0.475483,0.841030,0.825749,0.735458,0.702491,0.951892,0.838455,0.764922,0.669607,0.688729,1.000000,0.232609,0.252174,0.280435,0.360870,0.317021,0.217391,0.245652,0.282609,0.343478,0.321277,0.152174,0.323913,0.273913,0.332609,0.189362,0.276087,0.341304,0.400000,0.406522,0.302128,0.258696,0.278261,0.308696,0.278261,0.240426,0.178261,0.247826,0.323913,0.330435,0.159574,0.330097,0.373786,0.397087,0.395146,0.392593,0.318447,0.333981,0.374757,0.244660,0.030556,0.207767,0.378641,0.337864,0.219417,0.000000,0.401942,0.396117,0.382524,0.393204,0.392593,0.304854,0.421359,0.408738,0.252427,0.037037,0.229126,0.378641,0.387379,0.218447,0.000000,0.631942,0.250264,0.557301,0.055768,0.257072,0.137225,0.456505,0.576139,0.531103,0.063006,0.049817,0.534261,0.577273,0.335530,Fake
0.761814,0.882819,0.881146,0.974102,0.914629,0.598255,0.795522,0.823492,0.858794,0.878204,0.576859,0.740457,0.748267,0.780421,0.854851,0.654196,0.656586,0.726552,0.531995,0.458875,0.578094,0.563511,0.605586,0.488645,0.438349,0.583991,0.516097,0.554347,0.448960,0.453037,0.507175,0.605478,0.950729,0.714603,0.567757,0.306168,0.510425,0.711392,0.894799,0.954463,0.233748,0.425400,0.579436,0.790709,1.000000,0.917473,0.885326,0.764587,0.496115,0.430237,0.850563,0.822261,0.677977,0.683051,0.934817,0.733074,0.688362,0.599374,0.603456,1.000000,0.282979,0.238298,0.285106,0.278723,0.350980,0.287234,0.321277,0.336170,0.291489,0.392157,0.270213,0.340426,0.346809,0.355319,0.264706,0.374468,0.278723,0.402128,0.370213,0.282353,0.242553,0.223404,0.302128,0.263830,0.264706,0.268085,0.244681,0.395745,0.265957,0.233333,0.329245,0.374528,0.379245,0.419811,0.374775,0.349057,0.335849,0.379245,0.144340,0.041441,0.348113,0.384906,0.351887,0.171698,0.000000,0.392453,0.372642,0.349057,0.383962,0.389189,0.359434,0.380189,0.375472,0.148113,0.027928,0.314151,0.374528,0.396226,0.158491,0.000000,0.664527,0.405557,0.587149,0.029388,0.255347,0.217992,0.728594,0.739573,0.433652,0.029904,0.028836,0.512600,0.593480,0.394676,Fake
0.656624,0.766689,0.772809,0.866398,0.888382,0.614687,0.701814,0.696636,0.794805,0.746356,0.579382,0.639293,0.669120,0.741270,0.771151,0.678749,0.720858,0.703141,0.570866,0.443584,0.654827,0.588540,0.632831,0.516262,0.346750,0.612376,0.533764,0.592263,0.468632,0.416736,0.279552,0.672019,0.952217,0.760439,0.493292,0.196771,0.515024,0.747266,0.748859,0.985549,0.757985,0.408222,0.530004,0.682824,1.000000,0.918683,0.966982,0.807835,0.532114,0.512671,0.790228,0.779509,0.739518,0.644770,0.985135,0.899139,0.667929,0.648902,0.492510,1.000000,0.254348,0.215217,0.241304,0.321739,0.331915,0.300000,0.265217,0.295652,0.356522,0.408511,0.252174,0.269565,0.330435,0.263043,0.234043,0.419565,0.265217,0.371739,0.384783,0.344681,0.291304,0.234783,0.306522,0.354348,0.329787,0.223913,0.234783,0.321739,0.378261,0.334043,0.354455,0.353465,0.381188,0.445545,0.400000,0.386139,0.377228,0.403960,0.255446,0.010476,0.125743,0.370297,0.391089,0.261386,0.000000,0.401980,0.410891,0.393069,0.409901,0.403810,0.357426,0.443564,0.419802,0.261386,0.013333,0.124752,0.411881,0.400000,0.291089,0.000000,0.640812,0.280936,0.674556,0.079284,0.250640,0.146698,0.521432,0.881168,0.484431,0.122559,0.047366,0.536859,0.585845,0.399184,Fake
0.578111,0.867125,0.880536,0.970279,0.918400,0.632751,0.783716,0.813354,0.900778,0.875412,0.720507,0.745136,0.721376,0.829042,0.873541,0.653241,0.847173,0.618594,0.488906,0.280492,0.694180,0.726136,0.558407,0.441800,0.211688,0.768276,0.665742,0.508527,0.396515,0.603375,0.462138,0.749446,0.905735,0.848511,0.627107,0.373492,0.601813,0.707892,0.737427,0.972706,0.329888,0.527812,0.621995,0.708713,0.996363,0.859545,0.797810,0.670153,0.434121,0.382513,0.774961,0.704283,0.594511,0.366232,0.949322,0.692264,0.628025,0.541595,0.438428,0.993391,0.304255,0.219149,0.255319,0.280851,0.405769,0.225532,0.325532,0.302128,0.314894,0.246154,0.174468,0.336170,0.393617,0.240426,0.121154,0.359574,0.376596,0.365957,0.319149,0.267308,0.248936,0.285106,0.336170,0.325532,0.361538,0.176596,0.272340,0.314894,0.361702,0.134615,0.324510,0.403922,0.388235,0.428431,0.397196,0.345098,0.369608,0.387255,0.378431,0.026168,0.350980,0.360784,0.393137,0.292157,0.002804,0.435294,0.373529,0.359804,0.382353,0.399065,0.379412,0.389216,0.381373,0.400000,0.030841,0.334314,0.394118,0.388235,0.350000,0.004673,0.677808,0.311556,0.515085,0.048287,0.242832,0.217245,0.442731,0.735007,0.348801,0.043532,0.050363,0.529930,0.593835,0.367011,Fake
0.582024,0.785066,0.760232,0.846515,0.956384,0.479314,0.709181,0.686062,0.759181,0.863148,0.473728,0.641869,0.642201,0.694524,0.747103,0.793252,0.896737,0.829535,0.691427,0.498051,0.714989,0.740985,0.739215,0.550830,0.418668,0.720741,0.666925,0.709624,0.506637,0.343763,0.273079,0.608568,0.623107,0.902764,0.707056,0.186070,0.427474,0.530569,0.734715,0.657465,0.353289,0.352073,0.424212,0.572195,0.747660,0.981924,0.980542,0.853179,0.701548,0.497352,0.900774,0.810061,0.754450,0.598894,0.485208,0.851078,0.712991,0.686180,0.484577,0.567860,0.265000,0.255000,0.260000,0.287500,0.311905,0.272500,0.242500,0.287500,0.325000,0.359524,0.217500,0.287500,0.282500,0.352500,0.259524,0.335000,0.307500,0.367500,0.410000,0.330952,0.280000,0.275000,0.335000,0.337500,0.311905,0.252500,0.292500,0.310000,0.322500,0.342857,0.341111,0.324444,0.355556,0.394444,0.355914,0.374444,0.336667,0.364444,0.363333,0.333333,0.298889,0.373333,0.353333,0.382222,0.198925,0.388889,0.411111,0.398889,0.395556,0.388172,0.391111,0.405556,0.397778,0.441111,0.258065,0.271111,0.396667,0.411111,0.403333,0.238710,0.721655,0.313665,0.504942,0.323710,0.256027,0.130571,0.722043,0.433805,0.589588,0.515013,0.200764,0.583601,0.585154,0.449667,Fake
0.415878,0.829008,0.836132,0.928346,0.839880,0.359796,0.580407,0.665700,0.808651,0.795096,0.370534,0.458270,0.605293,0.715013,0.826926,0.836438,0.846718,0.802443,0.666361,0.469304,0.739033,0.719288,0.732214,0.583817,0.438029,0.729517,0.665903,0.678321,0.530433,0.531437,0.383909,0.479406,0.715375,0.957702,0.743566,0.264385,0.378003,0.486826,0.806935,0.822451,0.519685,0.323390,0.442812,0.680699,0.740974,0.865183,0.932061,0.855340,0.622905,0.494431,0.785534,0.852766,0.786039,0.566122,0.623200,0.848930,0.779982,0.718706,0.487230,0.565777,0.264000,0.216000,0.214000,0.294000,0.354545,0.276000,0.214000,0.290000,0.308000,0.289091,0.252000,0.200000,0.310000,0.342000,0.230909,0.424000,0.340000,0.300000,0.254000,0.349091,0.310000,0.266000,0.262000,0.354000,0.230909,0.238000,0.274000,0.364000,0.338000,0.241818,0.330769,0.328205,0.316667,0.371795,0.412195,0.379487,0.350000,0.389744,0.351282,0.195122,0.258974,0.366667,0.398718,0.341026,0.223171,0.438462,0.371795,0.357692,0.373077,0.402439,0.371795,0.401282,0.361538,0.416667,0.220732,0.232051,0.369231,0.388462,0.405128,0.248780,0.785223,0.277845,0.554397,0.281090,0.161693,0.150868,0.590610,0.520979,0.590866,0.580673,0.121543,0.616476,0.602261,0.426250,Fake
0.661095,0.838768,0.882766,0.938787,0.890072,0.562124,0.743077,0.821552,0.878894,0.863686,0.607624,0.712288,0.785298,0.810485,0.845817,0.692795,0.803106,0.552241,0.530060,0.326779,0.634314,0.630169,0.504008,0.426307,0.321017,0.615959,0.569229,0.468118,0.370559,0.559619,0.448974,0.718666,0.938443,0.879875,0.598827,0.438103,0.620782,0.739140,0.807809,0.981157,0.594737,0.528423,0.618698,0.683336,0.996206,0.848258,0.816642,0.743942,0.487249,0.398543,0.767813,0.687548,0.636817,0.480908,0.969127,0.754949,0.624405,0.535580,0.338316,0.993920,0.284091,0.229545,0.368182,0.347727,0.383333,0.311364,0.218182,0.300000,0.350000,0.216667,0.240909,0.279545,0.295455,0.247727,0.222917,0.375000,0.254545,0.336364,0.404545,0.333333,0.411364,0.309091,0.272727,0.375000,0.337500,0.197727,0.240909,0.375000,0.361364,0.147917,0.357576,0.371717,0.391919,0.428283,0.380769,0.368687,0.346465,0.394949,0.359596,0.016346,0.250505,0.388889,0.382828,0.338384,0.008654,0.422222,0.416162,0.423232,0.410101,0.403846,0.340404,0.441414,0.430303,0.348485,0.006731,0.264646,0.386869,0.401010,0.380808,0.000962,0.652264,0.359582,0.591901,0.094412,0.254536,0.254706,0.495670,0.861383,0.385166,0.209928,0.042380,0.532866,0.584511,0.398501,Fake
0.733351,0.745287,0.734716,0.885703,0.883510,0.634249,0.626630,0.669882,0.817301,0.809387,0.585800,0.594389,0.621829,0.756607,0.861099,0.688777,0.765856,0.810782,0.614517,0.453742,0.576815,0.680673,0.699304,0.539288,0.325920,0.533650,0.597956,0.664817,0.501498,0.504144,0.259027,0.607442,0.791119,0.847532,0.554281,0.324976,0.506842,0.688885,0.727465,0.861589,0.419838,0.386996,0.545025,0.666990,0.913710,0.899488,0.928534,0.861967,0.574733,0.479380,0.866690,0.842412,0.758895,0.503046,0.819460,0.837512,0.745961,0.709941,0.480489,0.888771,0.247917,0.237500,0.272917,0.312500,0.354000,0.266667,0.339583,0.275000,0.406250,0.346000,0.266667,0.285417,0.341667,0.312500,0.246000,0.391667,0.370833,0.406250,0.360417,0.286000,0.250000,0.331250,0.331250,0.393750,0.410000,0.272917,0.252083,0.320833,0.358333,0.248000,0.343617,0.337234,0.378723,0.406383,0.390816,0.339362,0.389362,0.355319,0.403191,0.130612,0.281915,0.347872,0.411702,0.319149,0.060204,0.396809,0.415957,0.385106,0.396809,0.401020,0.335106,0.418085,0.376596,0.436170,0.133673,0.300000,0.382979,0.415957,0.330851,0.074490,0.652046,0.248143,0.618363,0.147446,0.217555,0.129650,0.519065,0.630680,0.601419,0.214744,0.101410,0.565679,0.594496,0.385671,Fake
